doi,field,crossref,openalex,s2,label
10.1038/nature21056,authors,Andre Esteva; Brett Kuprel; Roberto A. Novoa; Justin Ko; Susan M. Swetter; Helen M. Blau; Sebastian Thrun,Andre Esteva; Brett Kuprel; Roberto A. Novoa; Justin Ko; Susan M. Swetter; Helen M. Blau; Sebastian Thrun,A. Esteva; Brett Kuprel; R. Novoa; J. Ko; S. Swetter; H. Blau; S. Thrun,variant
10.1371/journal.pmed.1002686,authors,Pranav Rajpurkar; Jeremy Irvin; Robyn L. Ball; Kaylie Zhu; Brandon Yang; Hershel Mehta; Tony Duan; Daisy Ding; Aarti Bagul; Curtis P. Langlotz; Bhavik N. Patel; Kristen W. Yeom; Katie Shpanskaya; Francis G. Blankenberg; Jayne Seekins; Timothy J. Amrhein; David A. Mong; Safwan S. Halabi; Evan J. Zucker; Andrew Y. Ng; Matthew P. Lungren,Pranav Rajpurkar; Jeremy Irvin; Robyn L. Ball; Kaylie Zhu; Brandon Yang; Hershel Mehta; Tony Duan; Daisy Yi Ding; Aarti Bagul; Curtis P. Langlotz; Bhavik N. Patel; Kristen W. Yeom; Katie Shpanskaya; Francis G. Blankenberg; Jayne Seekins; Timothy J. Amrhein; David A. Mong; Safwan S. Halabi; Evan J. Zucker; Andrew Y. Ng; Matthew P. Lungren,Pranav Rajpurkar; J. Irvin; Robyn L. Ball; Kaylie Zhu; Brandon Yang; Hershel Mehta; Tony Duan; D. Ding; Aarti Bagul; C. Langlotz; B. Patel; K. Yeom; K. Shpanskaya; F. Blankenberg; J. Seekins; T. Amrhein; D. Mong; S. Halabi; Evan Zucker; A. Ng; M. Lungren,variant
10.1007/978-3-319-24574-4_28,journal,Lecture Notes in Computer Science,Lecture notes in computer science,ArXiv,substantive
10.1007/978-3-319-24574-4_28,authors,Olaf Ronneberger; Philipp Fischer; Thomas Brox,Olaf Ronneberger; Philipp Fischer; Thomas Brox,O. Ronneberger; P. Fischer; T. Brox,variant
10.1038/s41586-019-1799-6,pages,,89-94,89 - 94,variant
10.1038/s41586-019-1799-6,authors,,Scott Mayer McKinney; Marcin Sieniek; Varun Godbole; Jonathan Godwin; Н. В. Антропова; Hutan Ashrafian; Trevor Back; Mary Chesus; Greg S. Corrado; Ara Darzi; Mozziyar Etemadi; Florencia Garcia-Vicente; Fiona J. Gilbert; Mark Halling‐Brown; Demis Hassabis; Sunny Jansen; Alan Karthikesalingam; Christopher Kelly; Dominic King; Joseph R. Ledsam; David Melnick; Hormuz Mostofi; Lily Peng; Joshua Reicher; Bernardino Romera‐Paredes; Richard Sidebottom; Mustafa Suleyman; Daniel Tse; Kenneth C. Young; Jeffrey De Fauw; Shravya Shetty,S. McKinney; Marcin Sieniek; Varun Godbole; Jonathan Godwin; Natasha Antropova; H. Ashrafian; T. Back; Mary Chesus; Greg C. Corrado; A. Darzi; M. Etemadi; Florencia Garcia-Vicente; F. Gilbert; M. Halling-Brown; D. Hassabis; Sunny Jansen; A. Karthikesalingam; Christopher J. Kelly; Dominic King; J. Ledsam; David S. Melnick; Hormuz Mostofi; L. Peng; J. Reicher; B. Romera-Paredes; Richard Sidebottom; Mustafa Suleyman; Daniel Tse; K. Young; J. Fauw; S. Shetty,variant
10.1038/s41591-018-0107-6,pages,1342-1350,1342-1350,1342 - 1350,variant
10.1038/s41591-018-0107-6,authors,Jeffrey De Fauw; Joseph R. Ledsam; Bernardino Romera-Paredes; Stanislav Nikolov; Nenad Tomasev; Sam Blackwell; Harry Askham; Xavier Glorot; Brendan O’Donoghue; Daniel Visentin; George van den Driessche; Balaji Lakshminarayanan; Clemens Meyer; Faith Mackinder; Simon Bouton; Kareem Ayoub; Reena Chopra; Dominic King; Alan Karthikesalingam; Cían O. Hughes; Rosalind Raine; Julian Hughes; Dawn A. Sim; Catherine Egan; Adnan Tufail; Hugh Montgomery; Demis Hassabis; Geraint Rees; Trevor Back; Peng T. Khaw; Mustafa Suleyman; Julien Cornebise; Pearse A. Keane; Olaf Ronneberger,Jeffrey De Fauw; Joseph R. Ledsam; Bernardino Romera‐Paredes; Stanislav Nikolov; Nenad Tomašev; Sam Blackwell; Harry Askham; Xavier Glorot; Brendan O’Donoghue; Daniel Visentin; George van den Driessche; Balaji Lakshminarayanan; Clemens Meyer; Faith Mackinder; S. Miles Bouton; Kareem Ayoub; Reena Chopra; Dominic King; Alan Karthikesalingam; Cían Hughes; Rosalind Raine; J. Randall Hughes; Dawn A. Sim; Catherine Egan; Adnan Tufail; Hugh Montgomery; Demis Hassabis; Geraint Rees; Trevor Back; Peng T. Khaw; Mustafa Suleyman; Julien Cornebise; Pearse A. Keane; Olaf Ronneberger,Jeffrey De Fauw; J. Ledsam; B. Romera-Paredes; Stanislav Nikolov; Nenad Tomašev; Sam Blackwell; Harry Askham; Xavier Glorot; Brendan O'Donoghue; D. Visentin; George Van Den Driessche; Balaji Lakshminarayanan; Clemens Meyer; Faith Mackinder; Simon Bouton; K. Ayoub; Reena Chopra; Dominic King; A. Karthikesalingam; Cían O. Hughes; R. Raine; J. Hughes; D. Sim; C. Egan; A. Tufail; Hugh Montgomery; D. Hassabis; G. Rees; T. Back; P. Khaw; Mustafa Suleyman; Julien Cornebise; P. Keane; O. Ronneberger,variant
10.1007/978-3-030-00889-5_1,journal,Lecture Notes in Computer Science,Lecture notes in computer science,"Deep Learning in Medical Image Analysis and Multimodal Learning for Clinical Decision Support : 4th International Workshop, DLMIA 2018, and 8th International Workshop, ML-CDS 2018, held in conjunction with MICCAI 2018, Granada, Spain, S",substantive
10.1007/978-3-030-00889-5_1,pages,3-11,3-11,3 - 11,variant
10.1007/978-3-030-00889-5_1,authors,Zongwei Zhou; Md Mahfuzur Rahman Siddiquee; Nima Tajbakhsh; Jianming Liang,Zongwei Zhou; Md Mahfuzur Rahman Siddiquee; Nima Tajbakhsh; Jianming Liang,Zongwei Zhou; M. R. Siddiquee; Nima Tajbakhsh; Jianming Liang,variant
10.1038/s41591-018-0268-3,year,2019,2018,2019,variant
10.1038/s41591-018-0268-3,pages,65-69,65-69,65 - 69,variant
10.1038/s41591-018-0268-3,authors,Awni Y. Hannun; Pranav Rajpurkar; Masoumeh Haghpanahi; Geoffrey H. Tison; Codie Bourn; Mintu P. Turakhia; Andrew Y. Ng,Awni Hannun; Pranav Rajpurkar; Masoumeh Haghpanahi; Geoffrey H. Tison; Codie Bourn; Mintu P. Turakhia; Andrew Y. Ng,Awni Y. Hannun; Pranav Rajpurkar; Masoumeh Haghpanahi; G. Tison; Codie Bourn; M. Turakhia; A. Ng,variant
10.1038/s41568-018-0016-5,journal,Nature Reviews Cancer,Nature reviews. Cancer,Nature reviews. Cancer,variant
10.1038/s41568-018-0016-5,pages,500-510,500-510,500 - 510,variant
10.1038/s41568-018-0016-5,authors,Ahmed Hosny; Chintan Parmar; John Quackenbush; Lawrence H. Schwartz; Hugo J. W. L. Aerts,Ahmed Hosny; Chintan Parmar; John Quackenbush; Lawrence H. Schwartz; Hugo J.W.L. Aerts,A. Hosny; Chintan Parmar; John Quackenbush; L. Schwartz; H. Aerts,variant
10.1038/s41591-019-0508-1,pages,,1301-1309,1301 - 1309,variant
10.1038/s41591-019-0508-1,authors,,Gabriele Campanella; Matthew G. Hanna; Luke Geneslaw; Allen P. Miraflor; Vitor Werneck Krauss Silva; Klaus J. Busam; Edi Brogi; Victor E. Reuter; David S. Klimstra; Thomas J. Fuchs,Gabriele Campanella; M. Hanna; Luke Geneslaw; Allen P. Miraflor; Vitor Werneck Krauss Silva; K. Busam; E. Brogi; V. Reuter; D. Klimstra; Thomas J. Fuchs,variant
10.1007/978-3-030-01234-2_49,journal,,Lecture notes in computer science,European Conference on Computer Vision,substantive
10.1007/978-3-030-01234-2_49,authors,,Liang-Chieh Chen; Yukun Zhu; George Papandreou; Florian Schroff; Hartwig Adam,Liang-Chieh Chen; Yukun Zhu; G. Papandreou; Florian Schroff; Hartwig Adam,variant
10.1109/WACV51458.2022.00181,year,2022,2022,2021,variant
10.1109/WACV51458.2022.00181,authors,Ali Hatamizadeh; Yucheng Tang; Vishwesh Nath; Dong Yang; Andriy Myronenko; Bennett Landman; Holger R. Roth; Daguang Xu,Ali Hatamizadeh; Yucheng Tang; Vishwesh Nath; Dong Yang; Andriy Myronenko; Bennett A. Landman; Holger R. Roth; Daguang Xu,Ali Hatamizadeh; Dong Yang; H. Roth; Daguang Xu,variant
10.18653/v1/P18-2124,journal,Proceedings of the 56th Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers),,ArXiv,substantive
10.18653/v1/N18-1202,journal,"Proceedings of the 2018 Conference of the North American Chapter of
          the Association for Computational Linguistics: Human Language
          Technologies, Volume 1 (Long Papers)",,ArXiv,substantive
10.18653/v1/N18-1202,authors,Matthew Peters; Mark Neumann; Mohit Iyyer; Matt Gardner; Christopher Clark; Kenton Lee; Luke Zettlemoyer,Matthew E. Peters; Mark E Neumann; Mohit Iyyer; Matt Gardner; Christopher Clark; Kenton Lee; Luke Zettlemoyer,Matthew E. Peters; Mark Neumann; Mohit Iyyer; Matt Gardner; Christopher Clark; Kenton Lee; Luke Zettlemoyer,variant
10.18653/v1/2020.acl-main.703,year,2020,2020,2019,variant
10.18653/v1/2020.acl-main.703,journal,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,,Annual Meeting of the Association for Computational Linguistics,substantive
10.18653/v1/2020.acl-main.703,authors,Mike Lewis; Yinhan Liu; Naman Goyal; Marjan Ghazvininejad; Abdelrahman Mohamed; Omer Levy; Veselin Stoyanov; Luke Zettlemoyer,Mike Lewis; Yinhan Liu; Naman Goyal; Marjan Ghazvininejad; Abdelrahman Mohamed; Omer Levy; Ves Stoyanov; Luke Zettlemoyer,M. Lewis; Yinhan Liu; Naman Goyal; Marjan Ghazvininejad; Abdel-rahman Mohamed; Omer Levy; Veselin Stoyanov; Luke Zettlemoyer,variant
10.18653/v1/2020.emnlp-demos.6,year,2020,,2019,variant
10.18653/v1/2020.emnlp-demos.6,journal,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing: System Demonstrations,,Conference on Empirical Methods in Natural Language Processing,substantive
